,frame_name,lp_cat,lp_all,lp_ratio,lp_cat_canny,lp_all_canny,lp_ratio_canny,blur,cat_x,cat_y,face_size,size_ratio,eyes,ears,nose,img_ctr,num_eye,num_ear,num_nose,eye_x1,eye_y1,eye_x2,eye_y2,eye_w1,eye_w2,eye_w,eye_h1,eye_h2,eye_h,eye_size,eye_ratio,nose_x,nose_y,ear_w1,ear_w2,ear_w,ear_h1,ear_h2,ear_h,video,avg_face,nose_to_ctr,avg_to_ctr,prob
23,IMG_0395.MOV_157.jpg,1.3575602200099322,17.13922025697369,0.07920781690506379,1181.820075672267,2496.231228162504,0.4734417478392874,0,0.5333333333333333,0.2805555555555556,88804.0,0.04282600308641976,"[(1046, 379, 100, 65)]","[[883, -4, 218, 210], [1273, 0, 169, 205]]","[[1135, 506, 78, 49]]","(960.0, 540.0)",1,2,1,1046,379,0,0,100,0,100.0,65,0,65.0,6500.0,0.0731949011305797,1135,506,218,169,193.5,210,205,207.5,IMG_0395,253424.28703703705,178.27226368675525,354.4449509462846,0.29
27,IMG_0395.MOV_170.jpg,1.3307776176494872,86.21853868860292,0.01543493589535171,328.06892980052794,25393.397641641695,0.012919457822475076,1,0.4739583333333333,0.2064814814814815,119716.0,0.057733410493827166,"[(972, 347, 96, 71)]","[[734, -3, 235, 144], [1156, 5, 161, 82]]",[],"(960.0, 540.0)",1,2,0,972,347,0,0,96,0,96.0,71,0,71.0,6816.0,0.056934745564502655,0,0,235,161,198.0,144,82,113.0,IMG_0395,253424.28703703705,1101.4535850411492,354.4449509462846,0.29
103,IMG_0395.MOV_630.jpg,1.7585486642531414,16.895572554658912,0.1040834016464406,1988.3680686406333,2406.859481677094,0.8261255315391919,0,0.4927083333333334,0.3037037037037037,357604.0,0.17245563271604938,"[(1013, 488, 171, 116), (1317, 513, 153, 114)]","[[786, -3, 332, 290], [1414, 51, 347, 294]]","[[1187, 748, 125, 65]]","(960.0, 540.0)",2,2,1,1013,488,1317,513,171,153,162.0,116,114,115.0,18630.0,0.052096732698739386,1187,748,332,347,339.5,290,294,292.0,IMG_0395,253424.28703703705,307.88471868541967,354.4449509462846,0.285
40,IMG_0395.MOV_411.jpg,1.8655962802032033,15.679989822068062,0.1189794318346787,2485.601887059161,2232.537542434927,1.1133527834646078,0,0.4802083333333334,0.3388888888888889,336400.0,0.16222993827160495,"[(1012, 568, 143, 145), (1274, 567, 136, 137)]","[[1337, 4, 326, 310], [807, 60, 264, 322]]","[[1169, 799, 131, 73]]","(960.0, 540.0)",2,2,1,1012,568,1274,567,143,136,139.5,145,137,141.0,19669.5,0.058470570749108206,1169,799,326,264,295.0,310,322,316.0,IMG_0395,253424.28703703705,332.8092546790128,354.4449509462846,0.28
17,IMG_0395.MOV_87.jpg,1.489114442980754,26.763352666034077,0.05564005607080087,7502.551016404961,8431.80039410793,0.8897922941401317,0,0.5098958333333333,0.425,127449.0,0.061462673611111115,"[(1037, 564, 89, 67), (1200, 582, 85, 72)]","[[910, 262, 192, 185], [1284, 292, 190, 174]]","[[1125, 694, 83, 54]]","(960.0, 540.0)",2,2,1,1037,564,1200,582,89,85,87.0,67,72,69.5,6046.5,0.04744250641433044,1125,694,192,190,191.0,185,174,179.5,IMG_0395,253424.28703703705,225.7011298155151,354.4449509462846,0.265
37,IMG_0395.MOV_368.jpg,1.5762317722639414,7.546178621234835,0.20887814235253432,0.0,10.285590277777779,0.0,0,0.4473958333333333,0.12314814814814815,351649.0,0.16958381558641974,"[(889, 330, 220, 153)]","[[788, -10, 268, 140], [1346, 0, 320, 135]]",[],"(960.0, 540.0)",1,2,0,889,330,0,0,220,0,220.0,153,0,153.0,33660.0,0.09572044851542305,0,0,268,320,294.0,140,135,137.5,IMG_0395,253424.28703703705,1101.4535850411492,354.4449509462846,0.265
21,IMG_0395.MOV_147.jpg,1.6243621010475289,18.74004085177593,0.08667868516911975,18121.169637436014,2623.6094809512115,6.906961485314512,0,0.575,0.2824074074074074,106276.0,0.05125192901234568,"[(1122, 391, 111, 76), (1306, 403, 87, 80)]","[[967, -4, 203, 224], [1348, 3, 193, 217]]","[[1226, 527, 82, 54]]","(960.0, 540.0)",2,2,1,1122,391,1306,403,111,87,99.0,76,80,78.0,7722.0,0.07265986676201588,1226,527,203,193,198.0,224,217,220.5,IMG_0395,253424.28703703705,266.3174797117155,354.4449509462846,0.26
20,IMG_0395.MOV_140.jpg,0.6229806076698322,38.94642607552271,0.01599583505972495,0.0,9230.69006006882,0.0,1,0.6614583333333334,0.3842592592592592,253424.28703703705,0.0016222993827160494,"[(1087, 411, 86, 72)]","[[976, 1, 209, 230], [1361, 58, 203, 233]]",[],"(960.0, 540.0)",1,2,0,1087,411,0,0,86,0,86.0,72,0,72.0,6192.0,1.840665873959572,0,0,209,203,206.0,230,233,231.5,IMG_0395,253424.28703703705,1101.4535850411492,354.4449509462846,0.26
38,IMG_0395.MOV_395.jpg,1.7803257827344778,17.058975145292354,0.10436299763446116,1134.5584799913395,2010.7701822311747,0.5642407521342993,0,0.4484375,0.4462962962962963,257049.0,0.12396267361111113,"[(1166, 629, 167, 129), (944, 655, 134, 124)]","[[1236, 7, 343, 339], [749, 152, 247, 238]]","[[1083, 861, 140, 75]]","(960.0, 540.0)",2,2,1,1166,629,944,655,167,134,150.5,129,124,126.5,19038.25,0.07406467249434932,1083,861,343,247,295.0,339,238,288.5,IMG_0395,253424.28703703705,343.7586362551492,354.4449509462846,0.255
83,IMG_0395.MOV_562.jpg,2.0190170105845016,14.638413505469535,0.13792594462713534,5387.4684711633645,3245.0723556065896,1.6601997985823966,0,0.4125,0.05185185185185185,366025.0,0.17651668595679013,"[(903, 245, 148, 124), (1182, 241, 139, 116)]","[[734, -5, 248, 209], [1250, 3, 280, 229]]",[],"(960.0, 540.0)",2,2,0,903,245,1182,241,148,139,143.5,124,116,120.0,17220.0,0.04704596680554607,0,0,248,280,264.0,209,229,219.0,IMG_0395,253424.28703703705,1101.4535850411492,354.4449509462846,0.255
